date,underlying,svix30,atm30,spot,near_expiry,near_days,near_vol,next_expiry,next_days,next_vol,n_options,file
2026-07-07,SAND,28.21,33.62,388.24,31-Jul-26,24.0,32.24,Aug-26,45.0,21.69,62,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SAVE,27.46,28.62,368.89,Jul-26,10.0,34.45,Aug-26,45.0,26.12,43,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SCAB,27.37,26.61,98.82,Jul-26,10.0,22.76,Aug-26,45.0,28.06,112,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SEBA,22.27,21.60,200.36,31-Jul-26,24.0,22.61,07-Aug-26,31.0,22.22,217,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SECUB,23.28,22.97,163.18,Jul-26,10.0,15.71,Aug-26,45.0,24.32,109,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SHBA,23.44,22.40,145.27,Jul-26,10.0,32.03,Aug-26,45.0,21.68,102,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SINCH,62.73,62.20,38.27,Jul-26,10.0,46.15,Aug-26,45.0,65.08,143,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SIVE,122.89,198.08,40.80,Jul-26,10.0,134.31,Sep-26,73.0,119.32,36,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SKAB,28.91,29.72,260.37,Jul-26,10.0,38.91,Mar-27,255.0,23.16,73,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SKFB,32.98,34.64,258.13,31-Jul-26,24.0,34.76,07-Aug-26,31.0,32.75,213,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SOBI,28.30,29.97,479.16,Jul-26,10.0,33.10,Aug-26,45.0,27.41,86,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SSABA,30.21,41.44,94.43,31-Jul-26,24.0,28.13,Aug-26,45.0,32.78,26,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,STER,32.31,31.28,103.87,Jul-26,10.0,29.83,Aug-26,45.0,32.70,118,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,SWEDA,19.74,22.76,368.14,Jul-26,10.0,25.09,Aug-26,45.0,18.70,81,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,TLSN,29.69,29.68,44.60,Aug-26,45.0,26.58,Sep-26,73.0,23.92,86,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,TRA,35.31,36.33,387.62,Jul-26,10.0,37.75,Aug-26,45.0,34.89,112,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,TRELB,28.54,27.42,410.11,Jul-26,10.0,35.67,Aug-26,45.0,27.17,169,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,VOLVB,24.54,,340.89,24-Jul-26,17.0,28.36,07-Aug-26,31.0,24.37,206,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,VSURE,44.66,43.30,10.69,Jul-26,10.0,43.14,Aug-26,45.0,44.91,122,NordicDerivatives-pretrade-2026-07-07T1724
2026-07-07,WRT,50.30,48.93,30.62,Aug-26,45.0,42.74,Sep-26,73.0,35.88,14,NordicDerivatives-pretrade-2026-07-07T1724
